SVI Theme: Household Composition & Disability; Overall Household Composition & Disability (Percentile); NaturalBreaks
Data downloaded on 20-April-2024
County_FIPS,County,State,Diagnosed Diabetes-2018-Percentage,Overall Household Composition & Disability-2018-Percentile
56039,Teton County,Wyoming,3.8,0.0096
53055,San Juan County,Washington,4.5,0.093
49043,Summit County,Utah,4.8,0.0567
27045,Fillmore County,Minnesota,5,0.3537
30031,Gallatin County,Montana,5,0.0089
06057,Nevada County,California,5.1,0.2248
16013,Blaine County,Idaho,5.1,0.3018
08037,Eagle County,Colorado,5.2,0.0156
08039,Elbert County,Colorado,5.3,0.0197
08069,Larimer County,Colorado,5.3,0.0159
56019,Johnson County,Wyoming,5.3,0.5642
08067,La Plata County,Colorado,5.4,0.0102
41003,Benton County,Oregon,5.4,0.007
53031,Jefferson County,Washington,5.4,0.2585
08013,Boulder County,Colorado,5.5,0.0111
08035,Douglas County,Colorado,5.5,0.0678
19081,Hancock County,Iowa,5.5,0.2229
26047,Emmet County,Michigan,5.5,0.2381
51107,Loudoun County,Virginia,5.5,0.0662
55025,Dane County,Wisconsin,5.5,0.0181
08007,Archuleta County,Colorado,5.6,0.1251
08049,Grand County,Colorado,5.6,0.0073
08117,Summit County,Colorado,5.6,0.0003
51059,Fairfax County,Virginia,5.6,0.0411
06087,Santa Cruz County,California,5.7,0.0274
08045,Garfield County,Colorado,5.7,0.0879
08059,Jefferson County,Colorado,5.7,0.0232
08119,Teller County,Colorado,5.7,0.1299
19191,Winneshiek County,Iowa,5.7,0.0347
27121,Pope County,Minnesota,5.7,0.2302
34019,Hunterdon County,New Jersey,5.7,0.0207
30009,Carbon County,Montana,5.8,0.2833
35049,Santa Fe County,New Mexico,5.8,0.3107
06041,Marin County,California,5.9,0.0751
08093,Park County,Colorado,5.9,0.0264
08097,Pitkin County,Colorado,5.9,0.035
08107,Routt County,Colorado,5.9,0.0038
13143,Haralson County,Georgia,5.9,0.8962
26055,Grand Traverse County,Michigan,5.9,0.1506
49051,Wasatch County,Utah,5.9,0.0573
51510,Alexandria City,Virginia,5.9,0.0025
06061,Placer County,California,6,0.1213
08015,Chaffee County,Colorado,6,0.2913
08051,Gunnison County,Colorado,6,0.0127
20105,Lincoln County,Kansas,6,0.6094
30057,Madison County,Montana,6,0.1254
31031,Cherry County,Nebraska,6,0.2308
38043,Kidder County,North Dakota,6,0.156
44001,Bristol County,Rhode Island,6,0.0528
51023,Botetourt County,Virginia,6,0.1703
08014,Broomfield County,Colorado,6.1,0.0322
19129,Mills County,Iowa,6.1,0.4514
20157,Republic County,Kansas,6.1,0.1589
20165,Rush County,Kansas,6.1,0.3945
23013,Knox County,Maine,6.1,0.2703
27005,Becker County,Minnesota,6.1,0.6848
29173,Ralls County,Missouri,6.1,0.2719
30029,Flathead County,Montana,6.1,0.0844
30067,Park County,Montana,6.1,0.0579
31027,Cedar County,Nebraska,6.1,0.3165
31029,Chase County,Nebraska,6.1,0.1805
33009,Grafton County,New Hampshire,6.1,0.0984
35028,Los Alamos County,New Mexico,6.1,0.0532
35055,Taos County,New Mexico,6.1,0.8243
55063,La Crosse County,Wisconsin,6.1,0.0325
02261,Valdez-Cordova Census Area,Alaska,6.2,0.0557
09005,Litchfield County,Connecticut,6.2,0.0541
20131,Nemaha County,Kansas,6.2,0.4435
25015,Hampshire County,Massachusetts,6.2,0.0194
27131,Rice County,Minnesota,6.2,0.0812
30063,Missoula County,Montana,6.2,0.0287
31039,Cuming County,Nebraska,6.2,0.4505
31057,Dundy County,Nebraska,6.2,0.6555
31135,Perkins County,Nebraska,6.2,0.4202
35027,Lincoln County,New Mexico,6.2,0.3865
38095,Towner County,North Dakota,6.2,0.334
50023,Washington County,Vermont,6.2,0.2394
50025,Windham County,Vermont,6.2,0.4177
55007,Bayfield County,Wisconsin,6.2,0.2996
55089,Ozaukee County,Wisconsin,6.2,0.0589
02110,Juneau City and Borough,Alaska,6.3,0.0226
08027,Custer County,Colorado,6.3,0.3387
08031,Denver County,Colorado,6.3,0.0175
08103,Rio Blanco County,Colorado,6.3,0.0939
17043,Dupage County,Illinois,6.3,0.0379
19003,Adams County,Iowa,6.3,0.1726
19027,Carroll County,Iowa,6.3,0.3658
