SVI Theme: Housing Type & Transportation; Overall Housing Type & Transportation (Percentile); NaturalBreaks
Data downloaded on 20-April-2024
County_FIPS,County,State,Diagnosed Diabetes-2018-Percentage,Overall Housing Type & Transportation-2018-Percentile
56039,Teton County,Wyoming,3.8,0.6266
53055,San Juan County,Washington,4.5,0.2343
49043,Summit County,Utah,4.8,0.1235
27045,Fillmore County,Minnesota,5,0.4161
30031,Gallatin County,Montana,5,0.4486
06057,Nevada County,California,5.1,0.2076
16013,Blaine County,Idaho,5.1,0.2518
08037,Eagle County,Colorado,5.2,0.326
08039,Elbert County,Colorado,5.3,0.0035
08069,Larimer County,Colorado,5.3,0.355
56019,Johnson County,Wyoming,5.3,0.4142
08067,La Plata County,Colorado,5.4,0.6829
41003,Benton County,Oregon,5.4,0.8886
53031,Jefferson County,Washington,5.4,0.3607
08013,Boulder County,Colorado,5.5,0.5673
08035,Douglas County,Colorado,5.5,0.0376
19081,Hancock County,Iowa,5.5,0.1162
26047,Emmet County,Michigan,5.5,0.2993
51107,Loudoun County,Virginia,5.5,0.0853
55025,Dane County,Wisconsin,5.5,0.6546
08007,Archuleta County,Colorado,5.6,0.3413
08049,Grand County,Colorado,5.6,0.4104
08117,Summit County,Colorado,5.6,0.3684
51059,Fairfax County,Virginia,5.6,0.3254
06087,Santa Cruz County,California,5.7,0.9035
08045,Garfield County,Colorado,5.7,0.5915
08059,Jefferson County,Colorado,5.7,0.1987
08119,Teller County,Colorado,5.7,0.0751
19191,Winneshiek County,Iowa,5.7,0.1767
27121,Pope County,Minnesota,5.7,0.1324
34019,Hunterdon County,New Jersey,5.7,0.141
30009,Carbon County,Montana,5.8,0.022
35049,Santa Fe County,New Mexico,5.8,0.6552
06041,Marin County,California,5.9,0.6985
08093,Park County,Colorado,5.9,0.0016
08097,Pitkin County,Colorado,5.9,0.2607
08107,Routt County,Colorado,5.9,0.4546
13143,Haralson County,Georgia,5.9,0.2859
26055,Grand Traverse County,Michigan,5.9,0.5415
49051,Wasatch County,Utah,5.9,0.1646
51510,Alexandria City,Virginia,5.9,0.7192
06061,Placer County,California,6,0.1974
08015,Chaffee County,Colorado,6,0.4881
08051,Gunnison County,Colorado,6,0.5326
20105,Lincoln County,Kansas,6,0.1146
30057,Madison County,Montana,6,0.3954
31031,Cherry County,Nebraska,6,0.2929
38043,Kidder County,North Dakota,6,0.0831
44001,Bristol County,Rhode Island,6,0.391
51023,Botetourt County,Virginia,6,0.0497
08014,Broomfield County,Colorado,6.1,0.1458
19129,Mills County,Iowa,6.1,0.1789
20157,Republic County,Kansas,6.1,0.2092
20165,Rush County,Kansas,6.1,0.0258
23013,Knox County,Maine,6.1,0.4677
27005,Becker County,Minnesota,6.1,0.439
29173,Ralls County,Missouri,6.1,0.0436
30029,Flathead County,Montana,6.1,0.3098
30067,Park County,Montana,6.1,0.2557
31027,Cedar County,Nebraska,6.1,0.0156
31029,Chase County,Nebraska,6.1,0.0901
33009,Grafton County,New Hampshire,6.1,0.6855
35028,Los Alamos County,New Mexico,6.1,0.057
35055,Taos County,New Mexico,6.1,0.6606
55063,La Crosse County,Wisconsin,6.1,0.6628
02261,Valdez-Cordova Census Area,Alaska,6.2,0.8513
09005,Litchfield County,Connecticut,6.2,0.1573
20131,Nemaha County,Kansas,6.2,0.2041
25015,Hampshire County,Massachusetts,6.2,0.687
27131,Rice County,Minnesota,6.2,0.8723
30063,Missoula County,Montana,6.2,0.6714
31039,Cuming County,Nebraska,6.2,0.0933
31057,Dundy County,Nebraska,6.2,0.0509
31135,Perkins County,Nebraska,6.2,0.0439
35027,Lincoln County,New Mexico,6.2,0.3301
38095,Towner County,North Dakota,6.2,0.1716
50023,Washington County,Vermont,6.2,0.5721
50025,Windham County,Vermont,6.2,0.6788
55007,Bayfield County,Wisconsin,6.2,0.0732
55089,Ozaukee County,Wisconsin,6.2,0.1117
02110,Juneau City and Borough,Alaska,6.3,0.9322
08027,Custer County,Colorado,6.3,0.0449
08031,Denver County,Colorado,6.3,0.8717
08103,Rio Blanco County,Colorado,6.3,0.6549
17043,Dupage County,Illinois,6.3,0.3079
19003,Adams County,Iowa,6.3,0.085
19027,Carroll County,Iowa,6.3,0.1181
25017,Middlesex County,Massachusetts,6.3,0.8195
30065,Musselshell County,Montana,6.3,0.3066
32005,Douglas County,Nevada,6.3,0.1452
34027,Morris County,New Jersey,6.3,0.2881
38007,Billings County,North Dakota,6.3,0.1675
38069,Pierce County,North Dakota,6.3,0.4091
45013,Beaufort County,South Carolina,6.3,0.6059
46055,Haakon County,South Dakota,6.3,0.4476
49005,Cache County,Utah,6.3,0.4686
51013,Arlington County,Virginia,6.3,0.7765
55073,Marathon County,Wisconsin,6.3,0.2722
55127,Walworth County,Wisconsin,6.3,0.4285
06017,El Dorado County,California,6.4,0.2209
09001,Fairfield County,Connecticut,6.4,0.7061
19049,Dallas County,Iowa,6.4,0.1595
19101,Jefferson County,Iowa,6.4,0.689
19141,O&#39;brien County,Iowa,6.4,0.5355
20183,Smith County,Kansas,6.4,0.0223
21097,Harrison County,Kentucky,6.4,0.5575
26009,Antrim County,Michigan,6.4,0.0739
27075,Lake County,Minnesota,6.4,0.3095
30075,Powder River County,Montana,6.4,0.12
31165,Sioux County,Nebraska,6.4,0.0325
34035,Somerset County,New Jersey,6.4,0.1777
38023,Divide County,North Dakota,6.4,0.1391
38045,Lamoure County,North Dakota,6.4,0.0213
49055,Wayne County,Utah,6.4,0.233
50007,Chittenden County,Vermont,6.4,0.7918
55055,Jefferson County,Wisconsin,6.4,0.4311
55093,Pierce County,Wisconsin,6.4,0.4661
55141,Wood County,Wisconsin,6.4,0.1948
05015,Carroll County,Arkansas,6.5,0.524
08047,Gilpin County,Colorado,6.5,0.15
08113,San Miguel County,Colorado,6.5,0.2677
09007,Middlesex County,Connecticut,6.5,0.3483
12115,Sarasota County,Florida,6.5,0.4269
17057,Fulton County,Illinois,6.5,0.5126
19035,Cherokee County,Iowa,6.5,0.3075
19071,Fremont County,Iowa,6.5,0.0821
19093,Ida County,Iowa,6.5,0.1649
19151,Pocahontas County,Iowa,6.5,0.077
21039,Carlisle County,Kentucky,6.5,0.178
25019,Nantucket County,Massachusetts,6.5,0.0716
26093,Livingston County,Michigan,6.5,0.0516
27047,Freeborn County,Minnesota,6.5,0.3343
29039,Cedar County,Missouri,6.5,0.2018
29141,Morgan County,Missouri,6.5,0.5463
30011,Carter County,Montana,6.5,0.2165
30055,Mccone County,Montana,6.5,0.155
31063,Frontier County,Nebraska,6.5,0.2222
31075,Grant County,Nebraska,6.5,0.1363
36079,Putnam County,New York,6.5,0.1773
36109,Tompkins County,New York,6.5,0.957
37125,Moore County,North Carolina,6.5,0.3372
46021,Campbell County,South Dakota,6.5,0.028
46051,Grant County,South Dakota,6.5,0.0672
46091,Marshall County,South Dakota,6.5,0.1433
47091,Johnson County,Tennessee,6.5,0.6237
51610,Falls Church City,Virginia,6.5,0.3464
55017,Chippewa County,Wisconsin,6.5,0.4537
55075,Marinette County,Wisconsin,6.5,0.4202
55135,Waupaca County,Wisconsin,6.5,0.3352
56029,Park County,Wyoming,6.5,0.1684
02230,Skagway Municipality,Alaska,6.6,0.8115
06001,Alameda County,California,6.6,0.916
06075,San Francisco County,California,6.6,0.9497
06093,Siskiyou County,California,6.6,0.6676
08041,El Paso County,Colorado,6.6,0.5782
12087,Monroe County,Florida,6.6,0.9777
16081,Teton County,Idaho,6.6,0.1452
17047,Edwards County,Illinois,6.6,0.1878
18139,Rush County,Indiana,6.6,0.0799
19015,Boone County,Iowa,6.6,0.3598
20187,Stanton County,Kansas,6.6,0.1286
26007,Alpena County,Michigan,6.6,0.3222
26107,Mecosta County,Michigan,6.6,0.9258
27053,Hennepin County,Minnesota,6.6,0.822
29139,Montgomery County,Missouri,6.6,0.3973
29203,Shannon County,Missouri,6.6,0.2888
30043,Jefferson County,Montana,6.6,0.1328
30107,Wheatland County,Montana,6.6,0.3359
31117,Mcpherson County,Nebraska,6.6,0.0643
35003,Catron County,New Mexico,6.6,0.1732
36061,New York County,New York,6.6,0.9736
37129,New Hanover County,North Carolina,6.6,0.6205
38089,Stark County,North Dakota,6.6,0.7635
40059,Harper County,Oklahoma,6.6,0.0961
41023,Grant County,Oregon,6.6,0.6463
46063,Harding County,South Dakota,6.6,0.3025
46081,Lawrence County,South Dakota,6.6,0.8625
46117,Stanley County,South Dakota,6.6,0.241
48023,Baylor County,Texas,6.6,0.0293
48493,Wilson County,Texas,6.6,0.3875
49017,Garfield County,Utah,6.6,0.3696
50001,Addison County,Vermont,6.6,0.3295
51017,Bath County,Virginia,6.6,0.3009
53037,Kittitas County,Washington,6.6,0.5148
54017,Doddridge County,West Virginia,6.6,0.4177
55043,Grant County,Wisconsin,6.6,0.6619
56033,Sheridan County,Wyoming,6.6,0.3664
06109,Tuolumne County,California,6.7,0.6692
08061,Kiowa County,Colorado,6.7,0.2085
08079,Mineral County,Colorado,6.7,0.0216
08091,Ouray County,Colorado,6.7,0.0255
13219,Oconee County,Georgia,6.7,0.0096
16033,Clark County,Idaho,6.7,0.5224
17015,Carroll County,Illinois,6.7,0.1334
17017,Cass County,Illinois,6.7,0.5272
17037,Dekalb County,Illinois,6.7,0.6848
17053,Ford County,Illinois,6.7,0.1585
17135,Montgomery County,Illinois,6.7,0.5689
18001,Adams County,Indiana,6.7,0.8134
19107,Keokuk County,Iowa,6.7,0.0111
20071,Greeley County,Kansas,6.7,0.4855
21023,Bracken County,Kentucky,6.7,0.4884
21167,Mercer County,Kentucky,6.7,0.1369
21201,Robertson County,Kentucky,6.7,0.2744
25011,Franklin County,Massachusetts,6.7,0.3706
26087,Lapeer County,Michigan,6.7,0.2999
29035,Carter County,Missouri,6.7,0.468
29061,Daviess County,Missouri,6.7,0.6533
29085,Hickory County,Missouri,6.7,0.1235
29129,Mercer County,Missouri,6.7,0.4374
29161,Phelps County,Missouri,6.7,0.8265
30001,Beaverhead County,Montana,6.7,0.5094
30059,Meagher County,Montana,6.7,0.0124
31045,Dawes County,Nebraska,6.7,0.5441
31101,Keith County,Nebraska,6.7,0.2932
32027,Pershing County,Nevada,6.7,0.9984
37043,Clay County,North Carolina,6.7,0.2044
38027,Eddy County,North Dakota,6.7,0.2576
38087,Slope County,North Dakota,6.7,0.0045
41027,Hood River County,Oregon,6.7,0.9169
42013,Blair County,Pennsylvania,6.7,0.6189
42123,Warren County,Pennsylvania,6.7,0.2853
46105,Perkins County,South Dakota,6.7,0.3954
48069,Castro County,Texas,6.7,0.6415
48171,Gillespie County,Texas,6.7,0.461
48275,Knox County,Texas,6.7,0.198
48329,Midland County,Texas,6.7,0.5559
48393,Roberts County,Texas,6.7,0.0022
48459,Upshur County,Texas,6.7,0.4021
48463,Uvalde County,Texas,6.7,0.8364
48507,Zavala County,Texas,6.7,0.9331
51063,Floyd County,Virginia,6.7,0.0503
51133,Northumberland County,Virginia,6.7,0.021
55091,Pepin County,Wisconsin,6.7,0.1554
55097,Portage County,Wisconsin,6.7,0.5788
56011,Crook County,Wyoming,6.7,0.1668
56027,Niobrara County,Wyoming,6.7,0.4833
02068,Denali Borough,Alaska,6.8,0.5536
05013,Calhoun County,Arkansas,6.8,0.3747
06051,Mono County,California,6.8,0.29
06083,Santa Barbara County,California,6.8,0.9156
08019,Clear Creek County,Colorado,6.8,0.1404
08065,Lake County,Colorado,6.8,0.6351
08073,Lincoln County,Colorado,6.8,0.5836
08085,Montrose County,Colorado,6.8,0.6437
08115,Sedgwick County,Colorado,6.8,0.6164
08125,Yuma County,Colorado,6.8,0.5285
12109,St. Johns County,Florida,6.8,0.1124
13113,Fayette County,Georgia,6.8,0.0181
16017,Bonner County,Idaho,6.8,0.3512
17059,Gallatin County,Illinois,6.8,0.1608
17061,Greene County,Illinois,6.8,0.1223
17065,Hamilton County,Illinois,6.8,0.1114
17067,Hancock County,Illinois,6.8,0.0949
17069,Hardin County,Illinois,6.8,0.4553
17079,Jasper County,Illinois,6.8,0.163
17103,Lee County,Illinois,6.8,0.5266
17131,Mercer County,Illinois,6.8,0.1175
17157,Randolph County,Illinois,6.8,0.5635
17203,Woodford County,Illinois,6.8,0.0936
18037,Dubois County,Indiana,6.8,0.3047
19009,Audubon County,Iowa,6.8,0.0159
19079,Hamilton County,Iowa,6.8,0.1321
19159,Ringgold County,Iowa,6.8,0.142
21213,Simpson County,Kentucky,6.8,0.0758
24027,Howard County,Maryland,6.8,0.1745
26083,Keweenaw County,Michigan,6.8,0.0347
27051,Grant County,Minnesota,6.8,0.121
27141,Sherburne County,Minnesota,6.8,0.2426
29089,Howard County,Missouri,6.8,0.4101
29131,Miller County,Missouri,6.8,0.4893
30007,Broadwater County,Montana,6.8,0.0232
30037,Golden Valley County,Montana,6.8,0.0054
30101,Toole County,Montana,6.8,0.8526
31005,Arthur County,Nebraska,6.8,0.0013
31091,Hooker County,Nebraska,6.8,0.1557
31143,Polk County,Nebraska,6.8,0.2464
31159,Seward County,Nebraska,6.8,0.2394
37115,Madison County,North Carolina,6.8,0.5161
41055,Sherman County,Oregon,6.8,0.0923
42091,Montgomery County,Pennsylvania,6.8,0.404
44005,Newport County,Rhode Island,6.8,0.4874
44009,Washington County,Rhode Island,6.8,0.2687
46061,Hanson County,South Dakota,6.8,0
46097,Miner County,South Dakota,6.8,0.092
47067,Hancock County,Tennessee,6.8,0.61
48011,Armstrong County,Texas,6.8,0.2735
48017,Bailey County,Texas,6.8,0.5769
48045,Briscoe County,Texas,6.8,0.0614
48087,Collingsworth County,Texas,6.8,0.5947
48091,Comal County,Texas,6.8,0.3324
48097,Cooke County,Texas,6.8,0.5925
48105,Crockett County,Texas,6.8,0.3855
48117,Deaf Smith County,Texas,6.8,0.6062
48131,Duval County,Texas,6.8,0.8978
48199,Hardin County,Texas,6.8,0.277
48267,Kimble County,Texas,6.8,0.148
48269,King County,Texas,6.8,0.0118
48283,La Salle County,Texas,6.8,0.8867
48289,Leon County,Texas,6.8,0.2655
48333,Mills County,Texas,6.8,0.4164
48379,Rains County,Texas,6.8,0.2964
48383,Reagan County,Texas,6.8,0.0659
48385,Real County,Texas,6.8,0.4387
48411,San Saba County,Texas,6.8,0.6721
48435,Sutton County,Texas,6.8,0.3117
48461,Upton County,Texas,6.8,0.411
48465,Val Verde County,Texas,6.8,0.9373
48505,Zapata County,Texas,6.8,0.6966
55037,Florence County,Wisconsin,6.8,0.2935
55047,Green Lake County,Wisconsin,6.8,0.4273
55051,Iron County,Wisconsin,6.8,0.5256
55099,Price County,Wisconsin,6.8,0.354
55129,Washburn County,Wisconsin,6.8,0.0751
56035,Sublette County,Wyoming,6.8,0.015
04005,Coconino County,Arizona,6.9,0.9713
06063,Plumas County,California,6.9,0.2388
06091,Sierra County,California,6.9,0.0882
06105,Trinity County,California,6.9,0.6307
08029,Delta County,Colorado,6.9,0.6466
08033,Dolores County,Colorado,6.9,0.0446
08053,Hinsdale County,Colorado,6.9,0.0395
08063,Kit Carson County,Colorado,6.9,0.4015
08095,Phillips County,Colorado,6.9,0.3499
12085,Martin County,Florida,6.9,0.6912
13023,Bleckley County,Georgia,6.9,0.6125
16001,Ada County,Idaho,6.9,0.2429
17007,Boone County,Illinois,6.9,0.2203
17013,Calhoun County,Illinois,6.9,0.2378
17155,Putnam County,Illinois,6.9,0.0038
17165,Saline County,Illinois,6.9,0.7934
17169,Schuyler County,Illinois,6.9,0.2257
17185,Wabash County,Illinois,6.9,0.3209
17189,Washington County,Illinois,6.9,0.1716
18013,Brown County,Indiana,6.9,0.1044
19061,Dubuque County,Iowa,6.9,0.5352
19077,Guthrie County,Iowa,6.9,0.0557
19089,Howard County,Iowa,6.9,0.2066
19121,Madison County,Iowa,6.9,0.0248
19149,Plymouth County,Iowa,6.9,0.0911
20151,Pratt County,Kansas,6.9,0.7087
20179,Sheridan County,Kansas,6.9,0.0153
20199,Wallace County,Kansas,6.9,0.0169
23005,Cumberland County,Maine,6.9,0.5925
23023,Sagadahoc County,Maine,6.9,0.1541
25001,Barnstable County,Massachusetts,6.9,0.0942
26135,Oscoda County,Michigan,6.9,0.4976
27019,Carver County,Minnesota,6.9,0.0809
27035,Crow Wing County,Minnesota,6.9,0.2528
27049,Goodhue County,Minnesota,6.9,0.432
27067,Kandiyohi County,Minnesota,6.9,0.5119
27101,Murray County,Minnesota,6.9,0.1168
27117,Pipestone County,Minnesota,6.9,0.5823
27145,Stearns County,Minnesota,6.9,0.7806
29003,Andrew County,Missouri,6.9,0.0423
29059,Dallas County,Missouri,6.9,0.5444
29171,Putnam County,Missouri,6.9,0.2537
30069,Petroleum County,Montana,6.9,0.0363
30079,Prairie County,Montana,6.9,0.0322
30081,Ravalli County,Montana,6.9,0.1098
30091,Sheridan County,Montana,6.9,0.34
30099,Teton County,Montana,6.9,0.7383
31021,Burt County,Nebraska,6.9,0.276
31129,Nuckolls County,Nebraska,6.9,0.1598
32009,Esmeralda County,Nevada,6.9,0.937
35021,Harding County,New Mexico,6.9,0.1837
37005,Alleghany County,North Carolina,6.9,0.1121
37021,Buncombe County,North Carolina,6.9,0.8838
37135,Orange County,North Carolina,6.9,0.8367
38019,Cavalier County,North Dakota,6.9,0.0366
39077,Huron County,Ohio,6.9,0.3165
39137,Putnam County,Ohio,6.9,0.0108
40045,Ellis County,Oklahoma,6.9,0.0455
41017,Deschutes County,Oregon,6.9,0.2152
41057,Tillamook County,Oregon,6.9,0.8612
41069,Wheeler County,Oregon,6.9,0.1726
42023,Cameron County,Pennsylvania,6.9,0.475
42029,Chester County,Pennsylvania,6.9,0.3387
42103,Pike County,Pennsylvania,6.9,0.0048
46005,Beadle County,South Dakota,6.9,0.6555
46037,Day County,South Dakota,6.9,0.0984
46059,Hand County,South Dakota,6.9,0.1665
46075,Jones County,South Dakota,6.9,0.0131
47021,Cheatham County,Tennessee,6.9,0.2225
47083,Houston County,Tennessee,6.9,0.368
