SVI Theme: Minority Status & Language; Overall Minority Status & Language (Percentile); NaturalBreaks
Data downloaded on 20-April-2024
County_FIPS,County,State,Diagnosed Diabetes-2018-Percentage,Overall Minority Status & Language-2018-Percentile
56039,Teton County,Wyoming,3.8,0.7736
53055,San Juan County,Washington,4.5,0.4454
49043,Summit County,Utah,4.8,0.6826
27045,Fillmore County,Minnesota,5,0.306
30031,Gallatin County,Montana,5,0.2372
06057,Nevada County,California,5.1,0.5524
16013,Blaine County,Idaho,5.1,0.845
08037,Eagle County,Colorado,5.2,0.8886
08039,Elbert County,Colorado,5.3,0.2025
08069,Larimer County,Colorado,5.3,0.5982
56019,Johnson County,Wyoming,5.3,0.1165
08067,La Plata County,Colorado,5.4,0.4801
41003,Benton County,Oregon,5.4,0.6625
53031,Jefferson County,Washington,5.4,0.3572
08013,Boulder County,Colorado,5.5,0.7157
08035,Douglas County,Colorado,5.5,0.503
19081,Hancock County,Iowa,5.5,0.3216
26047,Emmet County,Michigan,5.5,0.2073
51107,Loudoun County,Virginia,5.5,0.9083
55025,Dane County,Wisconsin,5.5,0.6699
08007,Archuleta County,Colorado,5.6,0.6224
08049,Grand County,Colorado,5.6,0.5333
08117,Summit County,Colorado,5.6,0.7526
51059,Fairfax County,Virginia,5.6,0.944
06087,Santa Cruz County,California,5.7,0.9325
08045,Garfield County,Colorado,5.7,0.8685
08059,Jefferson County,Colorado,5.7,0.6749
08119,Teller County,Colorado,5.7,0.3528
19191,Winneshiek County,Iowa,5.7,0.099
27121,Pope County,Minnesota,5.7,0.0729
34019,Hunterdon County,New Jersey,5.7,0.5444
30009,Carbon County,Montana,5.8,0.3177
35049,Santa Fe County,New Mexico,5.8,0.9513
06041,Marin County,California,5.9,0.8415
08093,Park County,Colorado,5.9,0.1964
08097,Pitkin County,Colorado,5.9,0.4941
08107,Routt County,Colorado,5.9,0.5492
13143,Haralson County,Georgia,5.9,0.2856
26055,Grand Traverse County,Michigan,5.9,0.2884
49051,Wasatch County,Utah,5.9,0.6055
51510,Alexandria City,Virginia,5.9,0.9408
06061,Placer County,California,6,0.7437
08015,Chaffee County,Colorado,6,0.4432
08051,Gunnison County,Colorado,6,0.3426
20105,Lincoln County,Kansas,6,0.0471
30057,Madison County,Montana,6,0.5638
31031,Cherry County,Nebraska,6,0.6017
38043,Kidder County,North Dakota,6,0.0573
44001,Bristol County,Rhode Island,6,0.4642
51023,Botetourt County,Virginia,6,0.3085
08014,Broomfield County,Colorado,6.1,0.6963
19129,Mills County,Iowa,6.1,0.2143
20157,Republic County,Kansas,6.1,0.0812
20165,Rush County,Kansas,6.1,0.0755
23013,Knox County,Maine,6.1,0.0602
27005,Becker County,Minnesota,6.1,0.3158
29173,Ralls County,Missouri,6.1,0.0866
30029,Flathead County,Montana,6.1,0.1656
30067,Park County,Montana,6.1,0.2697
31027,Cedar County,Nebraska,6.1,0.0306
31029,Chase County,Nebraska,6.1,0.6794
33009,Grafton County,New Hampshire,6.1,0.3836
35028,Los Alamos County,New Mexico,6.1,0.5899
35055,Taos County,New Mexico,6.1,0.9074
55063,La Crosse County,Wisconsin,6.1,0.5301
02261,Valdez-Cordova Census Area,Alaska,6.2,0.4693
09005,Litchfield County,Connecticut,6.2,0.5374
20131,Nemaha County,Kansas,6.2,0.0965
25015,Hampshire County,Massachusetts,6.2,0.5734
27131,Rice County,Minnesota,6.2,0.7119
30063,Missoula County,Montana,6.2,0.3101
31039,Cuming County,Nebraska,6.2,0.5361
31057,Dundy County,Nebraska,6.2,0.6689
31135,Perkins County,Nebraska,6.2,0.2155
35027,Lincoln County,New Mexico,6.2,0.8812
38095,Towner County,North Dakota,6.2,0.5877
50023,Washington County,Vermont,6.2,0.1697
50025,Windham County,Vermont,6.2,0.1595
55007,Bayfield County,Wisconsin,6.2,0.2964
55089,Ozaukee County,Wisconsin,6.2,0.277
02110,Juneau City and Borough,Alaska,6.3,0.737
08027,Custer County,Colorado,6.3,0.5552
08031,Denver County,Colorado,6.3,0.9382
08103,Rio Blanco County,Colorado,6.3,0.5963
17043,Dupage County,Illinois,6.3,0.8526
19003,Adams County,Iowa,6.3,0.0516
19027,Carroll County,Iowa,6.3,0.0465
25017,Middlesex County,Massachusetts,6.3,0.8341
30065,Musselshell County,Montana,6.3,0.114
32005,Douglas County,Nevada,6.3,0.667
