SVI Theme: Socioeconomic Status; Overall Socioeconomic Status (Percentile); NaturalBreaks
Data downloaded on 20-April-2024
County_FIPS,County,State,Diagnosed Diabetes-2018-Percentage,Overall Socioeconomic Status-2018-Percentile
01009,Blount County,Alabama,10.5,0.6143
01041,Crenshaw County,Alabama,10.7,0.7271
01059,Franklin County,Alabama,9.5,0.8713
01125,Tuscaloosa County,Alabama,11.8,0.6
01133,Winston County,Alabama,10.2,0.8334
02230,Skagway Municipality,Alaska,6.6,0.1532
04005,Coconino County,Arizona,6.9,0.6373
04017,Navajo County,Arizona,11.5,0.9599
05033,Crawford County,Arkansas,10.7,0.6121
05051,Garland County,Arkansas,10.2,0.6376
05053,Grant County,Arkansas,9,0.5051
05087,Madison County,Arkansas,9,0.7564
08007,Archuleta County,Colorado,5.6,0.2608
08014,Broomfield County,Colorado,6.1,0.008
08025,Crowley County,Colorado,7.5,0.9519
08067,La Plata County,Colorado,5.4,0.0503
08087,Morgan County,Colorado,7,0.5057
08111,San Juan County,Colorado,7,0.0252
12069,Lake County,Florida,9.2,0.4643
12083,Marion County,Florida,11.5,0.7134
12097,Osceola County,Florida,11.1,0.7099
13043,Candler County,Georgia,8.2,0.929
01043,Cullman County,Alabama,11,0.6895
01065,Hale County,Alabama,10.4,0.9334
01131,Wilcox County,Alabama,11.2,0.9882
02090,Fairbanks North Star Borough,Alaska,7.9,0.1876
02105,Hoonah-Angoon Census Area,Alaska,7.3,0.3344
02170,Matanuska-Susitna Borough,Alaska,8.2,0.3529
04023,Santa Cruz County,Arizona,9.4,0.9497
05003,Ashley County,Arkansas,9.9,0.828
05019,Clark County,Arkansas,10.4,0.5443
05021,Clay County,Arkansas,7.6,0.8029
05023,Cleburne County,Arkansas,8.4,0.5102
05139,Union County,Arkansas,10.4,0.7646
05147,Woodruff County,Arkansas,8.5,0.9315
06013,Contra Costa County,California,7.6,0.2478
06051,Mono County,California,6.8,0.1777
06075,San Francisco County,California,6.6,0.2239
06081,San Mateo County,California,7.4,0.1185
06099,Stanislaus County,California,9.4,0.8089
08045,Garfield County,Colorado,5.7,0.2131
08059,Jefferson County,Colorado,5.7,0.0248
08065,Lake County,Colorado,6.8,0.5455
08071,Las Animas County,Colorado,9.3,0.6975
01001,Autauga County,Alabama,9.5,0.3631
01069,Houston County,Alabama,14.2,0.6943
02060,Bristol Bay Borough,Alaska,9.1,0.1857
02122,Kenai Peninsula Borough,Alaska,8.2,0.3169
02282,Yakutat City and Borough,Alaska,9,0.2115
04001,Apache County,Arizona,12.3,0.9793
04007,Gila County,Arizona,9,0.8573
05027,Columbia County,Arkansas,13.6,0.8978
05029,Conway County,Arkansas,9.4,0.6847
05061,Howard County,Arkansas,8,0.7443
05085,Lonoke County,Arkansas,9.7,0.3634
05101,Newton County,Arkansas,9.7,0.5739
06001,Alameda County,California,6.6,0.2548
06077,San Joaquin County,California,9.9,0.7618
08011,Bent County,Colorado,7.4,0.8701
08019,Clear Creek County,Colorado,6.8,0.001
08023,Costilla County,Colorado,8.7,0.9662
08073,Lincoln County,Colorado,6.8,0.4567
08083,Montezuma County,Colorado,8.6,0.5041
08099,Prowers County,Colorado,7.7,0.8446
08109,Saguache County,Colorado,8.2,0.8013
08123,Weld County,Colorado,8,0.2815
13085,Dawson County,Georgia,7.8,0.2382
13097,Douglas County,Georgia,10.8,0.5331
13139,Hall County,Georgia,9.8,0.5045
13177,Lee County,Georgia,9.7,0.4586
13179,Liberty County,Georgia,11.1,0.7283
13199,Meriwether County,Georgia,8.9,0.857
13265,Taliaferro County,Georgia,8.4,0.9745
13269,Taylor County,Georgia,8.7,0.9707
13297,Walton County,Georgia,9.8,0.5003
13299,Ware County,Georgia,9.4,0.7242
13307,Webster County,Georgia,7.8,0.7299
16005,Bannock County,Idaho,9.8,0.5395
16007,Bear Lake County,Idaho,7.1,0.3385
16081,Teton County,Idaho,6.6,0.1968
17035,Cumberland County,Illinois,7.9,0.3643
17061,Greene County,Illinois,6.8,0.4742
17159,Richland County,Illinois,7.3,0.5385
18027,Daviess County,Indiana,7.2,0.622
18047,Franklin County,Indiana,8.7,0.2682
18115,Ohio County,Indiana,7,0.1678
18167,Vigo County,Indiana,9.3,0.7207
19031,Cedar County,Iowa,7.6,0.0239
01075,Lamar County,Alabama,11.8,0.8726
01101,Montgomery County,Alabama,14.2,0.6984
02188,Northwest Arctic Borough,Alaska,11.6,0.9102
04015,Mohave County,Arizona,9.4,0.7541
04025,Yavapai County,Arizona,7.2,0.4411
04027,Yuma County,Arizona,9.5,0.9408
05035,Crittenden County,Arkansas,12.7,0.893
05041,Desha County,Arkansas,8.8,0.9726
05049,Fulton County,Arkansas,7.1,0.8551
05055,Greene County,Arkansas,9.8,0.7016
05083,Logan County,Arkansas,7.7,0.8475
05115,Pope County,Arkansas,11.5,0.7522
05121,Randolph County,Arkansas,11,0.6898
05125,Saline County,Arkansas,8.7,0.1844
05135,Sharp County,Arkansas,9.2,0.764
05137,Stone County,Arkansas,8.6,0.8752
06037,Los Angeles County,California,9.1,0.6159
06059,Orange County,California,8,0.3248
06071,San Bernardino County,California,11.1,0.8277
06085,Santa Clara County,California,8.3,0.1933
06103,Tehama County,California,7.7,0.8506
06105,Trinity County,California,6.9,0.657
01033,Colbert County,Alabama,12.3,0.6519
01067,Henry County,Alabama,9.8,0.6971
01107,Pickens County,Alabama,10.9,0.9156
02150,Kodiak Island Borough,Alaska,7,0.2354
02185,North Slope Borough,Alaska,7.5,0.3261
04021,Pinal County,Arizona,11.7,0.6962
05073,Lafayette County,Arkansas,8.1,0.7271
05109,Pike County,Arkansas,10,0.6471
05149,Yell County,Arkansas,9.5,0.7494
06011,Colusa County,California,7.1,0.5898
08021,Conejos County,Colorado,8.1,0.8879
08061,Kiowa County,Colorado,6.7,0.2185
08081,Moffat County,Colorado,7.1,0.3086
12007,Bradford County,Florida,10.2,0.8468
12057,Hillsborough County,Florida,9.8,0.45
12093,Okeechobee County,Florida,10.6,0.9232
13069,Coffee County,Georgia,12,0.814
13129,Gordon County,Georgia,9,0.7561
13149,Heard County,Georgia,7.9,0.8146
13151,Henry County,Georgia,11.6,0.3768
13181,Lincoln County,Georgia,8.8,0.6296
13211,Morgan County,Georgia,8.1,0.3688
08095,Phillips County,Colorado,6.9,0.1522
09001,Fairfield County,Connecticut,6.4,0.2694
12023,Columbia County,Florida,12.4,0.7589
12061,Indian River County,Florida,7.8,0.3844
12079,Madison County,Florida,12,0.872
12133,Washington County,Florida,11.2,0.9322
13011,Banks County,Georgia,7.6,0.714
13037,Calhoun County,Georgia,8.4,0.9943
13063,Clayton County,Georgia,12.2,0.8653
13131,Grady County,Georgia,11.2,0.8567
13145,Harris County,Georgia,10.1,0.2573
13213,Murray County,Georgia,10.8,0.8662
13243,Randolph County,Georgia,8.1,0.9637
13251,Screven County,Georgia,10.1,0.8166
13293,Upson County,Georgia,7.3,0.9099
16015,Boise County,Idaho,8.5,0.3061
16029,Caribou County,Idaho,8.7,0.1373
16035,Clearwater County,Idaho,9.1,0.5242
16039,Elmore County,Idaho,7.4,0.5866
16059,Lemhi County,Idaho,7.3,0.3411
16073,Owyhee County,Idaho,10.6,0.7847
16079,Shoshone County,Idaho,7.9,0.7532
10003,New Castle County,Delaware,9.5,0.2704
12003,Baker County,Florida,11.5,0.6102
12005,Bay County,Florida,10.7,0.4389
12123,Taylor County,Florida,11.1,0.8812
13059,Clarke County,Georgia,8.3,0.7898
13083,Dade County,Georgia,7.8,0.6083
13107,Emanuel County,Georgia,10,0.9475
13121,Fulton County,Georgia,8.4,0.3245
